"","ROI","date","doy","r.av","g.av","b.av","r.sd","g.sd","b.sd","bri.av","bri.sd","gi.av","gi.sd","gei.av","gei.sd","ri.av","ri.sd","bi.av","bi.sd"
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.1",1,2019-07-03 12:00:00,184,158.939984175742,179.958403146235,106.540526389277,54.0708583442991,47.6116832179329,60.1239663360953,445.438913711254,156.077007346685,0.421219475044338,0.0645928957050688,94.4362957274504,44.6760776346365,0.357831095898458,0.0347256524828554,0.220949429057203,0.0648686990330491
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.2",1,2019-07-04 12:00:00,185,148.553721027646,167.592327562133,95.8422693847156,49.5156803702012,43.6647794597809,50.7734761540702,411.988317974495,139.781916556684,0.420761447116987,0.0544907767016597,90.7886647119054,34.6849098354098,0.36132886641219,0.0301174416479507,0.217909686470823,0.0548109092476246
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.3",1,2019-07-05 12:00:00,186,109.385431211021,138.724081960346,74.5695278320767,31.5804645610771,28.391444360021,26.7903071129668,322.679041003444,84.2065562581128,0.438875399460959,0.0465290109720576,93.4932048775947,19.9108802410557,0.336765570447203,0.0298442988649832,0.224359030091838,0.0357414705290678
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.4",1,2019-07-06 12:00:00,187,110.453091547985,137.514893418971,78.184573675882,31.8301466597771,29.9789157470913,28.6998638987516,326.152558642837,87.8545366153339,0.430152390680993,0.0466185135241145,86.3921216140743,20.9761525025181,0.337226291998901,0.0308744949213274,0.232621317320105,0.0372884660386387
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.5",1,2019-07-07 12:00:00,188,121.565437959602,150.984949502001,83.8794912966583,34.9733142411658,31.9724568017533,30.7420164405249,356.429878758261,94.7861719660276,0.432459625507508,0.0467664136341674,96.5249697477427,22.6403348272972,0.33942467504959,0.0302646637939306,0.228115699442902,0.0375709631610695
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.6",1,2019-07-08 12:00:00,189,154.559992553291,174.571360420739,102.870590151727,51.2796717674902,45.4972415838501,54.8786657347426,432.001943125756,146.738925588218,0.419156217083424,0.0599468160681676,91.712138136461,40.6495878401714,0.35864539675656,0.0323422776280491,0.222198386160015,0.0587959081265668
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.7",1,2019-07-09 12:00:00,190,143.769169459183,165.388031741599,96.3120345806572,48.2831282084255,43.1167194866742,49.4987179146135,405.469235781439,136.784291070659,0.422097974713553,0.0578994266570728,90.6948594433585,34.7090807072963,0.354651665438148,0.032421570525901,0.223250359848299,0.0542779661240786
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.8",1,2019-07-10 12:00:00,191,143.482331518198,166.929378432468,94.5439355859629,47.4909702350798,42.4552160799425,48.545033293693,404.955645536629,134.121787760102,0.426782616236415,0.0603980075923412,95.8324897607745,35.8005110178754,0.354292250976267,0.0346051079239999,0.218925132787318,0.0554896735969331
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.9",1,2019-07-11 12:00:00,192,123.091844689565,152.447750861026,86.4664898073164,36.0720788490371,33.6410343475338,33.0867735104419,362.006085357907,99.8631462638981,0.43058479788357,0.0490213414016884,95.3371672251699,23.7193794388772,0.338619907935686,0.0311789217436856,0.230795294180744,0.03986997917181
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.10",1,2019-07-12 12:00:00,193,125.935172903286,153.582332681746,85.9402052499302,36.3035931882428,32.7022797589444,32.3997750371081,365.457710834962,98.6863492567313,0.42920607424207,0.0457733822756665,95.2892872102765,23.3168276151959,0.343187081253196,0.0281285959887066,0.227606844504734,0.0373848174651161
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.11",1,2019-07-13 12:00:00,194,125.667300800521,151.063948617705,85.3669540631109,37.7317603725506,35.2776996062,35.3585255693013,362.098203481337,105.241741112341,0.426901164061214,0.0490252436744049,91.093642371777,25.5679094453355,0.346399968631912,0.0310970896756104,0.226698867306875,0.0423085707140514
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.12",1,2019-07-14 12:00:00,195,115.937040398399,143.621346458159,82.2849297216792,34.4398699518595,31.4238036922505,30.6516344405022,341.843316578237,94.0168476411569,0.42942752706789,0.0473129392419157,89.0207227962394,21.3275962301095,0.33725815259844,0.0295851909225679,0.23331432033367,0.0369706677935075
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.13",1,2019-07-15 12:00:00,196,134.752833240249,161.76231615936,94.8217269384716,42.0586462904777,38.6644669486042,41.6194335063718,391.336876338081,118.720129932412,0.424595409573388,0.0529439985439681,93.9500721399981,30.356218570977,0.343525356107726,0.0310671810044081,0.231879234318886,0.0460751227323423
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.14",1,2019-07-16 12:00:00,197,153.127292190263,171.657451363679,98.7552766917993,51.3689332157039,48.0304403876071,53.7027610260526,423.540020245741,147.502992809942,0.41950682321583,0.060186171878104,91.4323338452946,40.9262600717512,0.363521562401723,0.0371820029464526,0.216971614382447,0.0608336916041836
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.15",1,2019-07-17 12:00:00,198,130.348697989388,155.112997998697,87.2099390300661,38.6597606662185,35.7683733716278,36.0214500623199,372.671635018151,107.344892510072,0.426124830343823,0.0490085572278958,92.6673589779391,24.9583906857758,0.349196923497942,0.030722527972486,0.224678246158235,0.0431690107553092
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.16",1,2019-07-18 12:00:00,199,155.105213860188,172.943928604673,100.140760262497,52.1269800415177,47.9063039111025,55.4484560220566,428.189902727357,149.773800119819,0.418984004985064,0.0621665509761406,90.6418830866611,42.1055841474003,0.364122508082294,0.0372845772538396,0.216893486932642,0.0628845249310887
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.17",1,2019-07-19 12:00:00,200,127.032509541097,152.318579540166,85.7624790561296,36.6610664274735,33.5446019242711,33.5267455326309,365.113568137392,100.814334498107,0.426428121079394,0.0472099905481866,91.8421704831053,24.3395605873561,0.347097369076476,0.0293521952192258,0.22647450984413,0.0402767002943556
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.18",1,2019-07-20 12:00:00,201,126.533731266871,151.62656497254,85.6095131713674,34.4795510076535,30.9938383237447,30.9040810275804,363.769809410779,93.6844008544865,0.424882062162047,0.0432884704533753,91.1098855068416,22.7290306222505,0.34682245601105,0.0266731535938404,0.228295481826902,0.0362928820918446
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.19",1,2019-07-21 12:00:00,202,151.798159266499,168.241907521177,98.1408417108815,51.1917236621409,47.6455655428134,54.2775267749841,418.180908498557,147.926019233121,0.416801741497504,0.0604619976147857,86.5448140649725,40.2416793493187,0.365294224297936,0.0357172545881002,0.217904034204561,0.0615920826185845
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.20",1,2019-07-22 12:00:00,203,133.896444196221,156.757964488504,88.4808305408173,37.8262450348139,34.1176176045285,35.5554933656686,379.135239225542,104.27240267813,0.422331631711204,0.0454453779655783,91.1386542399702,26.7529294991478,0.352840627370117,0.0279164157675525,0.224827740918679,0.0409839654716424
"VI.data.df_CATH08_2019-07-02 to 2019-08-21.CATH08_2019-07-02 to 2019-08-21_roi1.21",1,2019-07-23 12:00:00,204,121.600245508703,148.603148561854,80.6262391790003,33.6304103608085,31.2916136724401,29.4118460296218,350.829633249558,90.7976918034226,0.432155962399683,0.0494100514641681,94.9798124360048,25.584063155042,0.345487355369495,0.0334526549194002,0.222356682230821,0.0394241752110226
